"Standard Report - Imports"
"Current date: 07/23/2025 2:16 PM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)","Quantity 1 (Gen)",
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","2018","1,049,941,219","9,637,034"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","July 2018","165,998,730","1,340,935"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","August 2018","153,511,314","1,450,581"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","September 2018","183,209,515","1,675,123"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","October 2018","195,039,626","1,806,668"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","November 2018","197,496,283","1,830,129"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","December 2018","154,685,751","1,533,598"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","2019","3,831,662,763","40,011,613"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","January 2019","105,845,081","1,025,789"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","February 2019","133,824,158","1,395,160"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","March 2019","170,612,495","1,711,948"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","April 2019","188,592,684","1,886,583"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","May 2019","292,185,057","3,137,382"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","June 2019","309,260,966","3,172,203"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","July 2019","323,470,117","4,217,088"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","August 2019","398,738,788","4,220,787"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","September 2019","408,512,638","4,134,206"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","October 2019","489,951,748","4,750,034"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","November 2019","494,685,550","5,356,004"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","December 2019","515,983,481","5,004,429"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","2020","6,334,214,509","67,992,655"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","January 2020","515,978,064","4,564,261"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","February 2020","541,497,882","5,221,904"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","March 2020","757,939,870","6,892,986"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","April 2020","566,035,730","5,300,911"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","May 2020","573,190,961","5,220,333"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","June 2020","453,614,787","12,293,440"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","July 2020","523,235,497","5,198,513"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","August 2020","556,156,525","5,184,251"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","September 2020","451,262,134","4,366,639"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","October 2020","475,419,990","4,653,464"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","November 2020","460,372,369","4,450,074"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","December 2020","459,510,700","4,645,879"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","2021","4,964,524,991","49,747,451"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","January 2021","375,342,021","4,187,566"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","February 2021","417,454,591","4,076,879"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","March 2021","578,558,124","6,025,029"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","April 2021","507,227,244","5,160,370"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","May 2021","536,753,291","5,386,982"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","June 2021","505,352,303","5,091,298"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","July 2021","371,421,688","3,652,418"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","August 2021","297,615,223","2,887,879"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","September 2021","331,527,179","3,216,152"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","October 2021","462,131,277","4,149,640"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","November 2021","288,156,463","2,827,269"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","World Total","December 2021","292,985,587","3,085,969"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Armenia","2021","512,776","3,120"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Armenia","February 2021","112,070","520"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Armenia","March 2021","80,142","520"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Armenia","April 2021","160,280","1,040"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Armenia","October 2021","160,284","1,040"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","2019","4,564","1"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","September 2019","4,564","1"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","2020","185,837","2,741"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","March 2020","41,760","696"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","April 2020","53,708","651"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","July 2020","83,520","1,392"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","October 2020","6,849","2"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","2021","1,733,602","47,192"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","March 2021","57,190","1,634"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","July 2021","13,200","44"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","September 2021","192,803","6,042"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","October 2021","394,787","12,174"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","November 2021","502,404","12,096"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Australia","December 2021","573,218","15,202"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Austria","2021","4,138","29"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Austria","June 2021","2,030","14"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Austria","December 2021","2,108","15"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Bangladesh","2020","78,000","60"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Bangladesh","April 2020","78,000","60"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Bangladesh","2021","2,969","50"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Bangladesh","December 2021","2,969","50"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Belgium","2020","74,372","450"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Belgium","October 2020","74,372","450"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Brazil","2020","198,324","2,851"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Brazil","March 2020","48,699","856"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Brazil","October 2020","149,625","1,995"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Bulgaria","2019","38,300","9"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Bulgaria","March 2019","2,300","1"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Bulgaria","December 2019","36,000","8"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","2019","429,688","3,689"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","August 2019","6,600","120"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","October 2019","72,442","544"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","November 2019","350,646","3,025"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","2020","2,913,674","44,689"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","January 2020","480,689","4,564"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","February 2020","62,051","1,544"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","March 2020","412,739","9,883"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","April 2020","314,277","3,752"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","May 2020","133,376","2,100"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","June 2020","17,361","300"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","July 2020","334,274","3,632"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","August 2020","300,677","5,218"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","September 2020","296,478","4,368"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","October 2020","144,343","2,600"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","November 2020","125,115","1,630"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","December 2020","292,294","5,098"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","2021","253,772","5,450"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","January 2021","22,920","400"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","February 2021","59,153","750"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","March 2021","48,063","450"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Burma","April 2021","123,636","3,850"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","2019","9,906,441","132,701"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","May 2019","153,744","1,544"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","August 2019","646,140","9,900"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","September 2019","432,960","6,600"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","October 2019","2,331,262","31,776"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","November 2019","2,972,518","44,613"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","December 2019","3,369,817","38,268"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","2020","127,780,176","1,571,176"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","January 2020","2,370,423","22,829"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","February 2020","4,205,150","43,184"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","March 2020","8,579,502","87,453"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","April 2020","4,012,705","45,206"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","May 2020","4,762,207","56,573"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","June 2020","13,579,578","135,478"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","July 2020","13,181,892","152,349"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","August 2020","7,947,519","94,739"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","September 2020","20,685,742","267,330"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","October 2020","13,089,962","148,556"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","November 2020","15,178,229","219,167"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","December 2020","20,187,267","298,312"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","2021","217,179,957","2,378,160"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","January 2021","4,633,193","330,309"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","February 2021","11,665,091","189,213"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","March 2021","12,353,989","175,095"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","April 2021","23,484,867","278,818"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","May 2021","22,532,058","234,076"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","June 2021","13,754,837","122,887"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","July 2021","13,573,790","111,788"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","August 2021","28,333,639","252,262"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","September 2021","21,130,510","174,743"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","October 2021","23,126,102","175,223"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","November 2021","16,448,160","140,779"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Cambodia","December 2021","26,143,721","192,967"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","2018","9,581,270","130,405"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","July 2018","2,809,030","34,670"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","August 2018","2,389,989","30,736"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","September 2018","697,170","9,761"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","October 2018","2,484,139","37,147"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","November 2018","844,411","12,539"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","December 2018","356,531","5,552"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","2019","23,307,952","437,914"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","January 2019","1,594,780","24,487"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","February 2019","472,519","7,224"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","March 2019","653,128","12,259"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","April 2019","862,260","15,758"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","May 2019","1,598,458","29,422"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","June 2019","1,182,788","25,539"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","July 2019","967,392","19,755"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","August 2019","2,829,176","55,100"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","September 2019","2,813,592","51,042"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","October 2019","3,181,222","64,132"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","November 2019","3,019,405","53,938"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","December 2019","4,133,232","79,258"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","2020","38,721,639","633,819"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","January 2020","2,566,080","47,781"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","February 2020","1,479,376","42,696"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","March 2020","2,451,007","59,171"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","April 2020","2,666,445","49,220"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","May 2020","5,945,641","57,881"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","June 2020","3,556,718","49,239"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","July 2020","1,606,546","43,978"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","August 2020","6,138,718","68,153"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","September 2020","2,357,039","46,982"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","October 2020","7,994,348","103,990"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","November 2020","951,863","38,010"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","December 2020","1,007,858","26,718"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","2021","17,262,977","736,985"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","January 2021","966,260","297,176"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","February 2021","978,023","37,151"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","March 2021","1,534,169","50,590"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","April 2021","1,510,323","26,657"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","May 2021","1,620,817","36,203"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","June 2021","1,189,830","51,510"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","July 2021","1,164,444","66,197"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","August 2021","1,283,057","38,384"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","September 2021","1,539,442","27,777"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","October 2021","1,374,544","26,675"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","November 2021","2,229,939","46,551"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Canada","December 2021","1,872,129","32,114"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","2018","5,918,787","293,532"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","July 2018","531,229","18,506"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","August 2018","1,971,851","49,651"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","September 2018","891,716","57,932"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","October 2018","994,777","61,089"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","November 2018","964,507","70,995"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","December 2018","564,707","35,359"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","2019","93,603,555","2,098,440"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","January 2019","656,415","60,743"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","February 2019","332,248","25,176"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","March 2019","437,801","40,134"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","April 2019","443,864","49,636"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","May 2019","1,243,107","58,537"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","June 2019","677,326","50,057"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","July 2019","544,724","21,029"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","August 2019","866,970","59,729"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","September 2019","1,926,990","29,164"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","October 2019","29,143,338","325,933"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","November 2019","11,018,288","770,303"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","December 2019","46,312,484","607,999"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","2020","287,665,558","3,951,067"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","January 2020","15,765,809","128,852"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","February 2020","49,058,562","685,796"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","March 2020","73,151,774","849,717"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","April 2020","41,944,622","652,717"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","May 2020","54,048,602","675,402"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","June 2020","24,105,755","401,347"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","July 2020","7,612,069","133,601"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","August 2020","11,219,892","165,899"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","September 2020","3,699,595","66,568"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","October 2020","2,765,828","63,486"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","November 2020","3,128,712","85,004"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","December 2020","1,164,338","42,678"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","2021","26,985,198","661,982"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","January 2021","1,519,132","28,684"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","February 2021","1,796,370","60,903"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","March 2021","1,641,026","69,556"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","April 2021","2,010,770","32,266"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","May 2021","1,926,250","51,441"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","June 2021","1,209,184","47,656"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","July 2021","1,937,900","41,216"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","August 2021","2,790,549","80,950"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","September 2021","2,602,405","44,870"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","October 2021","2,038,327","65,223"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","November 2021","1,683,162","47,762"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","China","December 2021","5,830,123","91,455"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Croatia","2018","6,766","40"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Croatia","October 2018","6,766","40"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Croatia","2019","5,775","12,000"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Croatia","September 2019","5,775","12,000"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Croatia","2021","13,870","109"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Croatia","June 2021","7,350","60"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","Croatia","October 2021","6,520","49"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","France","2018","1,358,788","11,313"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","France","July 2018","753,500","6,144"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","France","August 2018","376,750","3,072"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","France","September 2018","62,831","415"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","France","October 2018","16,224","52"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","France","November 2018","73,883","488"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","France","December 2018","75,600","1,142"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","France","2019","730,548","7,266"
"8541406015 Solar Cells,crysln Silic Photv Assmb Mods Or Panls (no)","France","February 2019","609,529","6,544"
